,age,dec,inc,mad
3,0.5011348571428571,348.5,57,7
6,0.7953844999999999,342.6,66.9,3.2
7,0.86587825,350.5,59,8.8
8,0.9352445,349.9,62.5,2.5
9,0.998396,334.2,65.2,3.5
10,1.0622975000000001,332.2,69.3,3
11,1.1322075,343.4,72.8,4.2
12,1.204099,10,77.7,2.2
13,1.265851,359.6,77.1,8.3
14,1.34609,2,78.8,6.1
15,1.41842625,348.9,76.3,2.5
16,1.4651500000000002,326.7,69.5,2
17,1.5053237499999998,342.2,71.7,4.8
18,1.54235875,8.7,62.8,4.9
19,1.578965,344.1,65.9,3.1
20,1.61503125,345.5,67,3.4
21,1.65103,339.2,59.6,1.6
22,1.68569,342.3,61.7,1.2
23,1.7410375,346.2,59.3,4.2
24,1.7842624999999999,338.9,59.9,2.2
25,1.839405,345.8,60,1.8
26,1.9039675,358.1,58.7,1.7
27,1.9585075,348.6,63.2,2.3
28,2.0096675,356.9,62,3.6
29,2.05964,354.1,67.9,3.5
30,2.1071425,342.5,70,4.7
31,2.1522775,359.9,70.1,1.7
32,2.19881,2.9,63.8,2.3
33,2.246480625,345.4,66.6,6.7
34,2.29689,347.8,67.6,6.1
35,2.3595,354.8,68.3,3.3
36,2.41954,353,70.4,3.6
37,2.46916,348.4,69.3,1.4
38,2.5165,340.2,73,1.4
39,2.56163,353.4,76,0.9
40,2.6019987500000004,21.1,73.5,2.4
42,2.671990625,0.9,80.5,2.5
43,2.73271,359.2,81.5,3.9
44,2.77579,22.9,80.1,2.1
45,2.82036,2.1,86.2,3.1
46,2.86395375,14.7,79.7,3.2
47,2.9088175,11.7,78,1.7
48,2.965975,23.9,73.7,2.4
49,3.0241524999999996,326,84.4,6.6
50,3.0720725,347.9,80.9,7.1
51,3.1161675,3,75.3,4
52,3.159765,12.6,71,3.1
53,3.202645,13.5,74.8,5.4
54,3.2479825,0.3,73.5,3.4
55,3.29667875,6.1,76.1,1.6
57,3.41808875,354.8,67.1,5.5
58,3.47454125,16,73.4,2.7
59,3.528215,12.2,66.5,4.4
60,3.57959125,346.8,55.6,4.1
61,3.6307225,0.4,56.6,3.3
62,3.674285,1.7,42.2,7.5
64,3.773225,345.7,55.8,5.9
65,3.85311,355.9,55.7,9.7
66,3.91142,344.8,48.8,6.7
67,3.98632,355.3,56.9,1.4
68,4.09455,348.3,64.9,4.5
69,4.20168,355.7,62.4,2.5
70,4.30142,350,60.9,3.1
71,4.38990125,347.2,60.6,1.9
72,4.4727825,352.1,62.8,1.7
73,4.5782025,341.7,60,1.5
74,4.6591575,342.1,57.4,1.4
75,4.73908875,345.8,55.7,1.4
76,4.81289375,346.1,50.8,5.5
77,4.870235,358.1,46.6,1.9
78,4.910220714285715,347.3,45.5,2.3
79,4.964862500000001,355.1,50.3,1.4
80,5.02649375,319.8,59.8,5.2
84,5.56209875,350.8,75.2,2.8
85,5.615035,346.3,72.8,2.9
86,5.65504,354.1,77.5,2.7
87,5.72112,352.1,72.1,8.7
88,5.81138,355.2,69.4,2.3
89,5.897456875,351.4,66,3
91,6.099654,359.7,57.1,2.7
92,6.165185,1.3,58,2.3
93,6.22335375,8.4,56.8,2
94,6.28977375,7.3,56.3,1.6
95,6.355475,8.1,59.6,2.8
97,6.494783333333333,38.2,57.3,3.9
98,6.7227075,17.6,58.7,2.1
99,6.8071475,19.3,62.1,3
100,6.883856,25.6,63.8,3.8
101,6.926471875,39,44,2.6
102,6.956094117647059,28.7,58.4,1.9
103,6.984730000000001,22.2,63.2,5.5
104,7.0118925,19.9,61,2.6
105,7.0352625,13.8,58.9,4.2
106,7.058579999999999,15.7,57.7,4.2
108,7.1107949999999995,14.4,65.9,4.5
109,7.13645,14.6,64,1.7
110,7.16026625,1.4,66.1,1.9
111,7.19154375,13,65.2,3.3
112,7.21861875,356.5,62.3,2.6
113,7.2468125,15.5,67.6,2.7
114,7.278346666666667,20.3,65,2
115,7.317827647058824,17.7,66.2,1.2
116,7.361712631578947,18.2,63.1,2.7
117,7.406516842105264,0.5,63.7,3.1
118,7.460691428571429,33.2,62.1,2.5
119,7.562151428571429,9,63.4,3
120,7.656389375,8.1,68.8,2.9
121,7.7448875,4.6,68.4,1.4
122,7.84249,358.4,70.7,3.6
123,7.9225,11.5,68.1,1
124,7.94782,8.7,70.7,0.9
125,7.96432,14.1,73,1.2
126,7.98859,4,73.4,1.8
127,8.01679,3.3,74.8,1.5
128,8.0377,5.5,69.1,1.8
129,8.063616666666666,26.1,70.8,1
130,8.08334,17.9,70.7,1.4
131,8.12555,8.8,67.9,1.2
132,8.226378125,19.6,67.8,2.2
133,8.312375000000001,29.7,68.7,1.4
134,8.399011250000001,15.9,66.7,1.4
135,8.50638875,20.3,65.1,1.2
136,8.604806,6.1,66,1.4
137,8.732141111111112,4,63.1,1.4
138,8.80128125,28.7,49.4,1.6
139,8.845878749999999,5.9,62.9,2.2
140,8.888281875,349.7,50.7,3.7
141,8.914597500000001,31.6,41.8,1.7
142,8.9467575,10.4,45.9,1
143,8.983670434782608,12.2,42.7,1.9
144,8.998032173913042,22.5,47.6,6.1
145,9.012393913043477,9,29.4,9.4
