x	Curve1
0.342105	18.4375
0.478947	21.25
0.547368	25
0.615789	28.75
0.752632	32.5
0.889474	35.3125
1.09474	35.3125
1.23158	39.0625
1.3	42.8125
1.43684	45.625
1.64211	44.6875
1.84737	45.625
1.91579	42.8125
1.98421	35.3125
2.05263	27.8125
2.12105	24.0625
2.18947	20.3125
2.25789	12.8125
2.32632	9.0625
2.39474	5.3125
2.53158	8.125
2.6	11.875
2.66842	15.625
2.87368	17.5
3.07895	20.3125
3.21579	23.125
3.48947	21.25
3.69474	20.3125
3.83158	17.5
4.03684	15.625
4.17368	12.8125
4.37895	10
4.58421	8.125
4.78947	8.125
5.06316	8.125
5.26842	7.1875
5.47368	7.1875
5.67895	10
5.81579	13.75
5.88421	17.5
6.02105	20.3125
6.22632	21.25
6.36316	18.4375
6.43158	14.6875
6.5	10.9375
6.63684	8.125
6.70526	4.375
6.84211	0.625
6.97895	-2.1875
7.11579	0.625
7.38947	1.5625
7.59474	3.4375
7.8	3.4375
7.93684	0.625
8.07368	2.5
8.27895	3.4375
8.48421	1.5625
8.62105	-1.25
8.82632	-4.0625
9.03158	-5.9375
9.23684	-7.8125
9.51053	-10.625
9.57895	-13.4375
9.78421	-15.3125
9.98947	-16.25
10.1947	-14.375
10.4	-15.3125
10.5368	-11.5625
10.6737	-8.75
10.7421	-5
10.8105	-1.25
10.8789	2.5
10.9474	6.25
11.0158	10
11.0842	12.8125
11.2895	13.75
11.3579	10
11.4947	6.25
11.5632	2.5
11.6316	-1.25
11.7	-4.0625
11.8368	-7.8125
12.1105	-8.75
12.2474	-11.5625
12.3842	-12.5
12.5895	-13.4375
12.7263	-16.25
12.8632	-19.0625
13.0684	-20.9375
13.2737	-18.125
13.4105	-15.3125
13.6158	-13.4375
13.7526	-10.625
13.8895	-9.6875
14.0263	-13.4375
14.0947	-17.1875
14.1632	-20
14.3684	-22.8125
14.4368	-26.5625
14.5737	-29.375
14.6421	-25.625
14.7789	-22.8125
14.9158	-23.75
15.1895	-24.6875
15.3947	-26.5625
15.6684	-26.5625
15.8053	-23.75
15.9421	-20
16.0105	-16.25
16.1474	-13.4375
16.2158	-9.6875
16.4211	-6.875
16.5579	-4.0625
16.6263	-0.3125
16.7632	2.5
16.9	-1.25
17.1053	-1.25
17.2421	-4.0625
17.4474	-4.0625
17.5842	-0.3125
17.7211	3.4375
17.8579	6.25
18.0632	6.25
18.1316	2.5
18.2684	-0.3125
18.5421	-0.3125
18.6789	2.5
18.7474	6.25
18.8842	9.0625
19.0895	11.875
19.2263	14.6875
19.2947	18.4375
19.5	18.4375
19.7737	15.625
19.9105	13.75
20.1158	16.5625
20.2526	19.375
20.3895	18.4375
20.4579	14.6875
20.5263	10.9375
20.6632	8.125
20.7316	1.5625
20.8	-9.6875
20.8684	-17.1875
20.9368	-26.5625
21.0737	-22.8125
21.1421	-19.0625
21.2789	-20
21.3474	-16.25
21.4158	-12.5
21.4842	-5
21.5526	2.5
21.6211	10
21.8263	11.875
22.0316	10
22.3053	10
22.5105	9.0625
22.7842	7.1875
23.0579	7.1875
23.1947	4.375
23.3316	0.625
23.5368	-0.3125
23.7421	2.5
23.8105	5.3125
23.9474	9.0625
24.0158	12.8125
24.2211	15.625
24.3579	12.8125
24.4947	9.0625
24.6316	6.25
24.8368	3.4375
25.0421	0.625
25.1789	-2.1875
25.3158	-5
25.4526	-8.75
25.6579	-10.625
25.8632	-8.75
26	-5
